question_id,text,x_corr,y_corr,question_number,question_page,question_text,question_file
0625_w18_qp_23_28,"28  Which row shows the meaning of the quantity e.m.f. and the unit in which it is measured? 
 
",49.62,87.51642000000004,28,12,"Which row shows the meaning of the quantity e.m.f. and the unit in which it is measured?   meaning unit 
A electromagnetic force N 
B electromagnetic force V 
C electromotive force N 
D electromotive force V 
",0625_w18_qp_23
0625_w18_qp_23_29,"29  Which diagram shows the current-voltage (I - V) characteristic for a filament lamp? 
 
D
",49.61901220590002,254.10009469830004,29,12,"Which diagram shows the current-voltage ( I - V) characteristic for a filament lamp?  
00VAI00VBI00VCI00VDI
 ",0625_w18_qp_23
0625_w18_qp_23_30,"30  The diagram shows a light-dependent resistor (LDR) connected in a potential divider circuit. 
 
",49.62219091199995,406.7764498,30,12,"The diagram shows a light-dependent resistor (LDR) connected in a potential divider circuit.  
V
  The brightness of the light falling on the LDR is increased.  Which row shows what happens to the resistance of the LDR, and what happens to the reading on the voltmeter?   resistance of LDR reading on voltmeter 
A decreases decreases 
B decreases increases 
C increases decreases 
D increases increases 
   1 © UCLES 2018 0625/23/O/N/18 [Turn over",0625_w18_qp_23
0625_w18_qp_23_31,"31  The diagram shows part of an electric circuit. The reading on the voltmeter is 16 V. The current in 
",49.62,74.85648000000003,31,13,"The diagram shows part of an electric circuit. The reading on the voltmeter is 16  V. The current in the resistor is 8.0
 A.  
V
PQ8.0  A  One coulomb of charge flows from P to Q through the resistor.  How much energy is transferred in the resistor? A 2.0
 J B 8.0  J C 16  J D 128  J ",0625_w18_qp_23
0625_w18_qp_23_32,"32  Which symbol represents an AND gate? 
 
",49.62211006099994,296.0159698000001,32,13,"Which symbol represents an AND gate?  
ABCD
 ",0625_w18_qp_23
0625_w18_qp_23_33,"33  Either a fuse or a circuit-breaker can be used to protect electrical cables from large currents that 
",49.62220251599996,390.9364998,33,13,"Either a fuse or a circuit-breaker can be used to protect electrical cables from large currents that could cause overheating.  
electricalsupplyXY appliancecable
cableliveneutral
  When a fuse is used, where should it be connected, and when a circuit-breaker is used, where should it be connected?   position of fuse position of circuit-breaker 
A X X 
B X Y 
C Y X 
D Y Y 
   1 © UCLES 2018 0625/23/O/N/18",0625_w18_qp_23
0625_w18_qp_23_34,"34  The circuit diagram shows an a.c. power supply connected to two diodes and a resistor. 
 
",49.62,87.51642000000004,34,14,"The circuit diagram shows an a.c. power supply connected to two diodes and a resistor.  
a.c.powersupplyXY
  The graph shows the current from the supply.  
currenttime
00
  Which graph shows the current in diode X?  
currenttimeA
00currenttimeB
00
currenttimeC
00currenttimeD
00
 ",0625_w18_qp_23
0625_w18_qp_23_35,"35  A 100% efficient step-down transformer has primary voltage Vp and primary current  Ip. 
 
",49.621855068,626.7361398,35,14,"A 100% efficient step-down transformer has primary voltage
 Vp and primary current  Ip.  Which row compares the secondary voltage with V
p and the secondary current with I p?   secondary voltage secondary current 
A greater than V p greater than I p 
B greater than V p less than I p 
C less than V p greater than I p 
D less than V p less than I p 
  1 © UCLES 2018 0625/23/O/N/18 [Turn over",0625_w18_qp_23
0625_w18_qp_23_36,"36  There is an electric current in a wire. The wire is placed in a magnetic field. A force acts on the 
",49.62,74.85648000000003,36,15,"There is an electric current in a wire. The wire is placed in a magnetic field. A force acts on the wire due to the current.  Which statement is correct? A The magnetic field must be produced by a permanent magnet and not by an electromagnet. B The wire must be made from a magnetic material. C When both the current and the magnetic field are reversed, the direction of the force is unchanged. D When the current is reversed, but not the magnetic field, there will be no force on the wire. ",0625_w18_qp_23
0625_w18_qp_23_37,"37  Which diagram represents the structure of a neutral atom? 
 
",49.620219509800016,264.6358980000002,37,15,"Which diagram represents the structure of a neutral atom?  
+
+ ––
–keyneutronprotonelectronA B
++–
++C
+++D
–
––
– ",0625_w18_qp_23
0625_w18_qp_23_38,"38  A  nucleus  of 
",49.622754182,408.397152,38,15,"A nucleus of 
Ra22888 decays into an isotope of actinium, which then decays into a nucleus of 
Th22890.  What types of radiation have been emitted during this process? A one alpha particle only B one alpha particle and one beta particle C two alpha particles D two beta particles    1  
Permission to reproduce items where third-party owned material protected by copyright is included has been sought and cleared w here possible. Every reasonable effort has been made by the publisher (UCLES) to trac e copyright holders, but if any items requiring clearance have unwittingly been included, the publisher will be pleased to make amends  at the earliest possible opportunity.  To avoid the issue of disclosure of ans wer-related information to candidates, all copyright acknowledgements are reproduced onl ine in the Cambridge International Examinations Copyright Acknow ledgements Booklet. This is produced for each  series of examinations and is freely a vailable to download at www.cie.org.uk after the live examination series.  Cambridge International Examinations is part of the Cambridge As sessment Group. Cambridge Assessment is the brand name of Unive rsity of Cambridge Local Examinations Syndicate (UCLES), which is itself a department of the University of Cambridge.  
© UCLES 2018 0625/23/O/N/18",0625_w18_qp_23
0625_w18_qp_23_39,"39  The diagram shows the paths of three different types of radiation X, Y and Z. 
 
",49.62,87.51642000000004,39,16,"The diagram shows the paths of three different types of radiation X, Y and Z.  
X Y Z 2
 mm ofplastic10  mm ofaluminium50  mmof lead
  Which row correctly identifies X, Y and Z?   X Y Z 
A α-particles β-particles γ-rays 
B β-particles α-particles γ-rays 
C β-particles γ-rays α-particles 
D γ-rays α-particles β-particles 
",0625_w18_qp_23
0625_w18_qp_23_40,"40  The count rate due to a sample of a radioactive isotope is measured for 80 minutes. 
 
",49.62,399.39591,40,16,"The count rate due to a sample of a radioactive isotope is measured for 80 minutes.  time /
 minutes second/countsrate count   
0 480 
20 380 
40 300 
60 240 
80 190 
 What is the half-life of the isotope? A 20 minutes B 40 minutes C 60 minutes D 80 minutes    ",0625_w18_qp_23
